"scientificName","Ecology","Biology","Dispersal"
"Amblycheila baroni Rivers, 1890","Ecology. Stenotopic, saxicolous, xerophilous, pholeophilous, crepuscular, epigean-fossorial (adult), fossorial (larva). Woodland (juniper, oak) canyons and craggy montane peaks: base of cliffs and boulders. Somewhat shaded ground, dry rocky soil. Larval habitat: A woodland canyon. Crepuscular: hides during the day in self constructed burrows, rodent burrows, rarely under large stones or logs. Gregarious.","Biology. Seasonality: June, July (mostly), September. Third-instar larvae: July. Adult food, in the laboratory: tenebrionid adults and larvae, drosophilid flies, and other insects. Larval food, in the laboratory: tenebrionid larvae. Larval parasites: bombyliid flies. Defense mechanism: Retreating to deep rocky fissures when disturbed. Best collected by bait trapping or pitfall trapping.","Dispersal power. Subapterous. Slow runner."
"Amblycheila cylindriformis (Say, 1823)","Ecology. Eurytopic, steppicolous, xerophilous, pholeophilous, myrmecophilous, crepuscular, epigean-fossorial (adult), fossorial (larvae). Banks, cliffs, gullies, ravines, ditches, and river bluffs Situated in hilly prairies, grasslands, cultivated lands, and pastures. Open ground, sloping, well-drained, dry, clayey (rarely sandy or rocky), bare or sparsely vegetated soil. Adults tend to walk at night in the vicinity of animal burrows or mesquite clumps, near the bases of or along the sides of clay banks. Larval habitat: Dry, clay banks and cliffs, often near mammal burrows, larval burrows (35-97.5 cm deep) nearly vertical for about 45 cm, turning to a subhorizontal position in their lower part, each larval colony limited to a 25 cm radius and usually consisting of 2 to 11 individuals. Nocturnal, mostly crepuscular, occasionally active on warm cloudy afternoons, usually hiding in the daytime and on cold days in self-constructed burrows, rodent burrows (gopher, kangaroo rat, badger), rattlesnake burrows, ant mounds, sometimes in yucca clumps and under stones or other objects, larva coming near the soil surface after sundown or earlier on cloudy days. Associated species: Pasimachus (carabids) and Eleodes (tenebrionids).","Biology. Seasonality: May-September. in KS, mostly June. Summer species. Mating: May. Oviposition: Groups of one to two dozen eggs deposited near the soil surface. Third-instar larvae: May and August. Omnivorous, predaceous, necrophagous. Adult food, in the field: caterpillars, acridid nymphs, cerambycids, scarabaeids, tenebrionids, ants, spiders, dead insects, carrion, and dried yucca petals. Noise of individuals shredding yucca petals can be heard at quite a distance. Adults sometimes cannibalistic. Adult food, in the laboratory: caterpillars, locusts, other insects, and fresh meat. Larval food, in the field: Ants and other insects (e.g., an adult Cicindela). Sight very poor. Predators: skunks, birds, and spiders. Defense mechanism: immediately retreating underground when emerging from its burrow and seeing movement; making no attempt to escape when disturbed outside of its burrow; sometimes delivering a painful bite when captured. Best collected with a flashlight in the earliest part of a warm, calm evening or by baiTier pitfall trapping. Not shy.","Dispersal power. Subapterous. Slow runner. When on the move, raising body very high and keeping the antennae in constant motion. Note. Before it was known to be nocturnal, the species was considered a rarity and commonly valued at 15 to 20 dollars each; for instance, the type of the beetle was sold for $300 by Thomas Say, and the second specimen, captured about 20 years later, was purchased for $50. By trading several hundreds specimens of this valuable tiger beetle as high as 25 dollars each, the well-known Professor F.H. Snow of the University of Kansas at Lawrence, the discoverer of its favorite haunt, was able both to consolidate an important general beetle collection at his university, and provide his collecting students a substantial amount of money to cover their university expenses for a whole year. As soon as the nocturnal habits of this species became known to the public, the price immediately went down to 50 cents per specimen."
"Amblycheila hoversoni Gage, 1991","Ecology. Stenotopic, silvicolous, psammophilous, pholeophilous, nocturnal, epigean- fossorial (adult). Mostly scrublands; also rangelands. Mostly shaded ground; well-drained, moist or dry, sandy soil mixed with silt and clay. Nocturnal; active after midnight; hiding during the day in animal burrows and leaf litter.","Biology. Seasonality: April-November, except June. Predaceous. Adult food, in the field: adult and larvae of camel crickets, spiders, and other arthropods. Adult food, in the laboratory: caterpillars, crickets, beetles, millipedes, and centipedes. Predators: various birds.","Dispersal power. Subapterous. Slow runner."
"Amblycheila picolominii Reiche, 1839","Ecology. Stenotopic, xerophilous, saxicolous, epigean. Rocky areas. Open ground; bare, dry, rocky soil. Nocturnal; seen active at dusk.","Biology. Seasonality: April-July.","Dispersal power. Subapterous. Slow runner."
"Cicindela hirticollis gravida LeConte, 1851","Ecology. Stenotopic, coastal, hygrophilous, psammophilous, halophilous, epigean. Beaches along the sea, bays, and barrier islands; sand bars at the mouth of rivers and brooks; salt marshes. Open ground; moist, sometimes dry, saline soil consisting of clean, lightcolored sand. Diurnal.","Biology. Seasonality: February, April, August.","Dispersal power. Macropterous. Fast runner. Conservation status. Threatened subspecies. Extinct over most of its former distribution.",
"Cicindela hirticollis hirticollis Say, 1817","Ecology. Eurytopic, coastal, riparian, hygrophilous, halophilous, thermophilous, heliophilous, psammophilous, epigean (adult); fossorial (larva). Sea beaches; shores of barrier islands, large rivers, and lakes; river sand bars, and moist pans in dune fields. Open ground; wet (mostly) or moist, often dark, slightly sandy, bare soil (often saline). Larval habitat: lake beaches, in well-drained, usually moist or wet, rarely dry sand, without humus or almost so; intertidal zone of beaches; vertical banks; edges of puddles or backwaters not disturbed by waves; straight, vertical burrows (15-20 cm in depth); larva leaving its burrow for a moister place when the soil gets too dry or for the tops of sand dunes and upper beaches after heavy rains and storms. Mostly diurnal; basking in the hottest sunshine; active only in sunny, warm weather; hiding in self- constructed burrows in the dry upper beach for the night, in late afternoon, and ,on rainy, cloudy or cool days. Gregarious, occurring in swarms. 'Associated species: C. cuprascens, C. macra macra, C. repanda repanda, C. wapleri, C. blanda and C. dorsalis dorsalis.","Biology. Seasonality: February-November; in MD, mostly July-August. Spring-fall species. Duration of life cycle: 1-2 years. Mating: Spring (WV). Oviposition: in low areas of sea beaches beyond the reach of regular waves and on lake beaches; eggs laid on level, wet, white sand, in small vertical burrows, in June-July. Duration of larval life: approximately 4 months. Pupation: July-August. Tenerals: JulyAugust. Overwinters both in the adult and larval (third instar) stages; larva closes its burrow from October to April for overwintering. Predaceous. Adult food, in the field: small amphipods and small insects. Larval food, in the field: small amphipods. Adult and larval food, in the laboratory: lean meat. Predators: Robins, frogs, and asilid flies. Larval parasites: bombyliid flies and tiphiid wasps. A pseudoscorpion observed on the body of an adult. Defense mechanism: cryptic coloration - body color blending perfectly with the dark, grayish luster of the wet sand; quickly escaping by flight, sometimes in swarms, which distracts the pursuer; emits a defensive secretion when captured. Very wary. Difficult to approach.","Dispersal power. Macropterous. Strong flier. Attracted to artificial lights at night. Fast runner. Often wades through 3-4 mm deep puddles. Quite active. Conservation status. Subspecies sometimes threatened by building construction along shorelines. Sometimes threatened by human recreational activities. Sometimes threatened by pesticide spraying. Endangered in OH.",
"Cicindela hirticollis rhodensis Calder, 1916","Ecology. Eurytopic, coastal, riparian, hygrophilous, halophilous, heliophilous, psammophilous, epigean (adult); fossorial (larva). Sea beaches; shores of large rivers and lakes; sand dunes. Open ground; usually moist (rarely dry), sandy (sometimes muddy), often saline, bare or almost bare soil. Larval habitat: Lake beaches, sand dunes, and river sand bars; vertical burrows (12.5-20 cm deep) dug into wet sand; some burrows wetted at high tides. Diurnal; hiding on cloudy days. Gregarious.","Biology. Seasonality: March-September. Spring-fall species. Mating: June-July. Tenerals: July-August. Predaceous, necrophagous. Adult food, in the field: adult and larval beetles; insects washed up as beach drift. Adult food, in the laboratory: ants, worms, and flies. Defense mechanism: cryptic coloration - body color and reduced elytral maculations blend with surface of dark intertidal beaches and mud flats. Defense mechanism: escapes by quick flight. Very wary. Difficult to approach.","Dispersal power. Macropterous. Strong flier. Fast runner. Very active. Conservation status. Threatened subspecies. Extinct over much of its former distribution in New England.",
"Cicindela hirticollis shelfordi Graves, 1988","Ecology. Eurytopic, riparian, hygrophilous, halotolerant, heliophilous, psammophilous, epigean. Banks and sand bars along rivers and brooks; shores of reservoirs; edges of pools; moist places in sand pits and at the bottom of blowouts; edges of wells; sand dunes, flooded fields, and saline areas. Open ground; moist or wet, sandy, sometimes alkaline, bare soil. Diurnal; hides among the sparse vegetation or close to logs and other debris on cloudy mornings or during sudden rains. Gregarious. Associated species: C. cuprascens, C. nevadica knausii, and C. repanda repanda.","Biology. Seasonality: April-November. Spring-fall species (NE, NM). Summer species (KS). Mating: July. Tenerals: August. Predaceous. Adult food, in the field: carabids, heterocerids, flies, and other insects. Predators: gulls and asilid flies. Defense mechanism: escapes by flying so rapidly and so far at the slightest disturbance, that the pursuer has to walk in large circles around an individual to driv: it through the low vegetation where it can be caught; producmg defensive secretions to deter predators. Very wary. Difficult to 'approach.","Dispersal power. Macropterous. Strong flier. Fast runner.",
"Cicindela hirticollis siuslawensis Graves, 1988","Ecology. Stenotopic, coastal, riparian, hygrophilous, halophilous, psammophilous, epigean. Mouths of rivers flowing into the sea. Open ground; moist or wet, often saline, sandy soil. Diurnal.","Biology. Seasonality: May-September.","Dispersal power. Macropterous. Fast runner.",
"Cicindela hirtilabris LeConte, 1875","Ecology. Eurytopic, silvicolous, xerophilous, psammophilous, thermophilous, epigean (adult); fossorial (larva). Mostly pine forests, pine barrens and scrub flatwoods (roads, roadcuts, trails, lanes, paths, roadside ditches, and clearings); also meadow roads, eroded sand hills, and base of sand dunes. Not associated with water. Open ground; level, dry, sparsely vegetated soil consisting of white sand, slightly mixed with humus. Larval habitat: burrows dug into habitat similar to adult. Both diurnal (mostly) and nocturnal; basks in the early morning to elevate its body temperature; quite active in the hottest part of the day; extensive white elytral maculations reduces excess body heat. Solitary. Associated species: C. abdominalis, C. gratiosa, C. highlandensis, and C. scabrosa.","Biology. Seasonality: May-November, mostly June-July. Summer species. Duration of life cycle: 1-2 years. Oviposition: in same ha~itat as adult; female digs a shallow ovipositional hole. Larva stay active all year. Defense mechanism: cryptic coloration - body color (extensive white elytral maculations and brown surface of elytra) blends with the bright white sand, humus, and seeds lying on the sand surface; when disturbed, doesn't move until almost stepped on; runs away, sometimes quickly flies a short distance for cover, when pursued. Difficult to see when motionless or when flying.","Dispersal power. Macropterous. Good flier. Attracted to artificial lights at night. Fast runner.",
"Cicindela hornii hornii Schaupp, 1884","Ecology. Eurytopic, steppicolous, epigean (adult); fossorial (larva). Grasslands, grassy pastures, upland meadows, grassy marshlands, wet spots, broad flats of bottomlands, mountain slopes, mesas, and rocky hillsides. Open ground; dry or slightly moist, sometimes wet, clayey, loamy, occasionally rocky or gravelly soil with sparse low vegetation or grass clumps. Larval habitat: bmTows dug into grasslands. Diurnal; prefers to rest in the shade of low vegetation, e.g., under grass clumps; basking, foraging, stilting, and shuttling to shade at 34.9°C, 36.1 °C, 37.6°C, and 36.4°C respectively (AZ); active for about 6 hours each day. Associated species: C. lemniscata lemniscata and C. sedecimpunctata sedecimpunctata.","Biology. Seasonality: June-September. Oviposition: females dig large numbers of ovipositional holes. Predaceous. Adult food, in the laboratory: beetles and flies. Defense mechanism: when pursued, takes wing vertically with a steady, long (up to 30 m) flight; sometimes carried off by powerful winds. Quite wary. Difficult to approach.","Dispersal power. Macropterous. Usually a weak flier, but a good flier if necessary. Fast runner.",
"Cicindela latesignata latesignata LeConte, 1851","Ecology. Eurytopic, coastal, hygrophilous, psammophilous, halophilous, epigean (adult); fossorial (larva). Sea beaches, ocean bays, estuaries, salt marshes, salt meadows, alkali flats near sloughs. Open ground; moist, sandy (mostly) or muddy, saline soil. Larval habitat: Tidal flats just above high tide, in mud or sand covered with mud; burrows (3.75-7.5 cm deep) often curved to an almost horizontal plane at the bottom. Diurnal. Gregarious, occurring in swanns.","Biology. Seasonality: May-October, mostly midsummer. Predaceous. Adult food, in the field: small crustaceans. Defense mechanism: escapes by flying just above the tide line.","Dispersal power. Macropterous. Good flier. Fast runner. Quite active. Conservation status. Threatened subspecies. Extinct over much of its former geographic distribution.",
"Cicindela lemniscata lenmiscata LeConte, 1854","Ecology. Eurytopic, steppicolous, hygrophilous, halotolerant, thermophilous, epigean (adult); fossorial (larva). Grasslands, pastures, saltbush flats; roadsides; dry lake beds; beds of small rain-brooks; vicinity of pools, ponds, lakes and streams; dry uplands (in September-October). Open ground; moist, clayey, muddy or sandy, sometimes saline, sparsely vegetated soil. Larval habitat: grasslands and saltbush flats; burrows (third instar, 12.8-19.1 cm deep, 15.8 em deep on average) dug into hard-packed, white, silty clay-loam, away from sparse vegetation; burrows being utilized for nest-provisioning by eumenid wasps. Both diurnal and nocturnal; active about 7 hours per day, occasionally up to 12 hours; frequently running and flying in hot sunshine; basking, foraging, stilting, and stilting at 30.5°C, 34.8°C, 37.1 °C, and 37°C respectively (AZ). Associated species: C. pulchra pulchra, C. hornii hornii, and C. sedecimpunctata sedecimpunctata.","Biology. Seasonality: May-October, mostly midsummer. Duration of life cycle: 1-2 years. Predaceous. Adult food, in the laboratory: beetles and flies. Larval food, in the laboratory: springtails, tenebrionid larvae or drosophilid flies. Predators: flycatchers and lizards. Larval parasites: bombyliid flies. Defense mechanism: flies readily, n01mally short distances, sometimes in long erratic flights, when pursued.","Dispersal power. Macropterous. Good flier. Often attracted in great numbers to artificial lights, especially on warm, cloudy nights. Fast runner.",
"Cicindela lemniscata rebaptisata Vaurie, 1951","Ecology. Eurytopic, halophilous, epigean. Large alkali flats, desert areas, roadside ditches; dry areas, e.g., washes and flats; vicinity of brooks, rivers, and ponds; dry creek beds. Not necessarily associated with water. Open ground; moist or dry, gravelly or rocky, saline soil. Both diurnal and nocturnal.","Biology. Seasonality: July-October. Defense mechanism: escape by flight.","Dispersal power. Macropterous. Good flier. Often attracted to artificial lights at night. Fast runner.",
"Cicindela lengi jordai Rotger, 1874","Ecology. Stenotopic, riparian, xerophilous, psammophilous, epigean. Sandy banks of dry washes often lying along canyon beds. Open ground; dry, sandy soil. Diurnal.","Biology. Seasonality: May-June.","Dispersal power. Macropterous. Fast runner.",
"Cicindela lengi lengi W. Horn, 1908","Ecology. Stenotopic, steppicolous, xerophilous, psammop~ilous, t~ermophobous, epigean. Margins of sand dune~ and s~n? ~Ills; ravmes, blowouts, eroded banks, barren flats, roadsides; VICinity of pools at the bottom of blowouts; sand bars along rivers. Open ground; well drained, dry, sandy, sparsely vegetated or bare soil often consi~ting of pure whitish sand, sometimes mixed with clay .. Diurnal; h1.des during hot sunshine in the shade of low vegetation. Greganous. Associated species: C. scutellaris scutellaris and C. formosa formosa.","Biology. Seasonality: April-October, mostly May-Jun~. Spr~ng- fall species. Tenerals: August-September. Defense mechamsm: rm~es the anterior part of its body when disturbed; flies only a short distance when pursued.","Dispersal power. Macropterous. Weak flier. Fast runner.",
"Cicindela lengi versuta Casey, 1913","Ecology. Stenotopic, steppicolous, xerophilous, psa~mophilous, epigean (adult); fossorial (larva). Sand dunes, sand hills, barrens, blowouts, sandy washes; grassland margins, road.s, and tracks adjacent to sand dunes; sand ridges through open comferous forests. Open ground; well-drained, dry, sparsely vegetated soil, sometimes consisting of reddish sand. Larval habitat: burrows 112.5 cm in depth on average. Diurnal. Gregarious. Associated species: C. formosa formosa and C. decemnotata.","Biology. Seasonality: April-October, mostly June-July with stragglers in September- October. Spring-fall species. Mating: June. Larva closes its burrow from June to August for the summer. Duration of larval life: 3 years. Pupation: July. Tenerals: August. Overwinters both in the adult and larval stages, in burrows (30-80 cm and 70 -137 cm deep, respectively) dug into sandy soil. Predaceous. Adult food, in the field: ants. Predators: asilid flies. Defense mechanism: cryptic coloration - body color blends perfectly with the reddish sand; flies about 5 m in a straight line to alight on a sandy area when pursued .","Dispersal power. Macropterous. Good flier. Fast runner. Rather inactive.",
"Cicindela lepida Dejean, 1831","Ecology. Stenotopic, xerophilous, psammophilous, halotolerant, thermophobous, heliophilous, epigean (adult), fossorial (larva). Sand dunes, sand hills, dune fields, blowouts, barren flats, and sand pits; margins of grasslands adjacent to sand dunes; roadside banks; upper banks of rivers, stream sand bars, dried river beds, and vicinity of salt licks; sandy areas along the sea shore. Adults tend to occur on wind-swept dune crests; preferring the sloping sides of blowouts to their bottom. Not necessarily associated with water. Open ground; well-drained, horizontal or steep, bare or sparsely vegetated, dry soil consisting of loose, shifting white sand. Larval habitat: sheltered bowl areas of sand dunes or bank sides exposed to the wind; burrows (62.5-3 m deep) dug into pure drifting sand. Both diurnal and nocturnal; becoming active at !8°C; active from 8:00 A.M. to 8:00 P.M., mostly in the morning and at dusk; basks during the midmorning to elevate its body temperature, but hides in a burrow (3-6 cm deep) dug into the sand, beneath tufts of long grass, during the hot midday temperature or during cloudy, cool or rainy weather; larva also dig in during the heat of the day. Extensive pale elytral maculations reduce excess body heat. Gregarious. Associated species: C. formosa generosa, C. scutellaris lecontei, C. limbata hyperborea, and C. marutha.","Biology. Seasonality: March-October, mostly June-July. Summer species. Two-brooded species, adults of each brood emerging in alternate years. Duration of life cycle: 2 years. Mating: June-August, in self-constructed burrows dug into the sand. Oviposition: in sandy areas, e.g., on tops of dunes, in slightly shifting soil, in June-July. Duration of larval stage: 22 months. Pupation: in long, curved pupal cells, in May-June. Tenerals: June-July; sexual maturity requiring about 2-3 weeks. Duration of adult life: 1-2 months. Overwinters in the larval (second and third instars) stage, in burrows dug 175 cm deep on average. Predaceous. Adult food, in the field: insects. Adult food, in the laboratory: carabids, house flies, spiders, and lean meat. Larval food, in the laboratory: lean meat. Adult parasites: protozoans. Defense mechanism: cryptic coloration - extensive pale elytral maculations blend perfectly with the white sand; usually stays motionless instead of flying when pursued, apparently aware of the protective color of the white sand, otherwise runs a short distance (1.98 m on average) or flies directly up over one's head, and alights in a moment behind one's back; often lets itself be transported by the wind when escaping by flight; emits a feeble scent when captured. Very wary, particularly in windy weather or when being forced to retreat on dark ground.","Dispersal power. Macropterous. Normally a weak flier, but occasionally a long-distance disperser, sometimes found many kilometers from its greeding habitat. Often attracted to artificial lights at night. Fast runner. Easy to collect with a flashlight at night. Conservation status. Threatened species. Extinct over much of its former distribution. Largely extinct due to insecticide spraying. Largely extinct due to off-road vehicles. Largely extinct due to sand excavation. Largely extinct due to building construction. Largely extinct due to land development and stabilization of sand dunes.",
"Cicindela limbalis Klug, 1834","Ecology. Stenotopic, hygrophilous, heliophilous, epigean (adult); fossorial (larva). Eroded banks, stream banks, embarkments, ditches, roadsides: little-used roads, dirt roads, roadcuts, paths, steep gullies, bluffs, cliffs, small canyons, clay pits, hillsides, hilltops, pocketgopher hills; openings in meadows, fields, and forests. Often close to bodies of water. Open ground; sloping hard-packed, usually moist or wet (occasionally dry), clayey, bare or very sparsely vegetated soil. Larval habitat: Steep, moist clayey banks of lakes, old pocket-gopher hills, and open moist areas in fields; not usually more than 2 m from the water's edge; burrows (7-15 cm deep) usually with a chimneylike structure (about 6 .mm high) at their entrance which opens perpendicularly to the sOil surface, curving into an almost horizontal plane .at their i.rmer end. Diurnal. Solitary or occurring in pairs. Associated species: C. purpurea purpurea and C. splendida.","Biology. Seasonality: February-October, with stragglers in midsummer; m J-:fH, Apnl-June, August-September. Spring-fall species. Duration of life cycle: 2-3 ye~rs. Mating: April-July; copulation lasting 2.13- 3.10 mm.; Interspecific copulation observed with C. splendida and C. sexguttata. Oviposition: in steep, clayey slopes, in May-June. Durat1o? of larval stage: 14-26 months. Pupation: lasting 2 weeks-1 month, m Jui~-Augu.st. Tenerals: August; sexual maturity reached in June, after hibernatiOn. Overwinters both in the adult and larval ~second and third instars) stages; adults prefer higher ground, hiding ~n bmrows (5-4 7.5 cm deep) dug into clay or sand; larvae sheltered m burrows (5-20 cm deep) dug into clay; third-instar larva often closes its burrow in mid-July. Duration of adult life: 9-11 months. Predaceous. Adult food, in the field: ants. Adult food, in the laboratory: ants, carabids, woodborer larvae, other insects, mealworms, and small earthworms. Larval food, in the field: araneid spiders, libellulid dragonflies, and moths. Larval food, in the laboratory: lean meat Predators: ants (able to drag larvae from their burrows). Larval parasites: bombyliid flies and eulophid wasps. Many larvae die during winter or in spring inundations. Defense mechanism: cryptic coloration - body color blends with banks of red clay; escapes by swift flight. Rather easy to capture by making it fly and netting it when it lands.","Dispersal power. Macropterous. Good flier. Fast runner.",
"Cicindela limbata albissima Rumpp, 1962","Ecology. Stenotopic, xerophilous, psammophilous, epigean. Crests and flats of sand dunes. Open ground; well-drained, dry, sandy, bare soil, away from any vegetation. Diurnal. Solitary.","Biology. Seasonality: May, August-September. Tenerals: September. Defense mechanism: flies readily when disturbed.","Dispersal power. Macropterous. Good flier. Fast runner. Conservation status. Rare subspecies.",
"Cicindela limbata hyperborea LeConte, 1863","Ecology. Stenotopic, silvicolous, xerophilous, psammophilous, epigean. Coniferous forests Uack pine): open spots, blowouts, and roadsides. Open ground; dry, bare sandy soil. Diurnal. Gregarious. Associated species:C. tranquebarica tranquebarica and C. longilabris longilabris.","Biology. Seasonality: Unknown. Defense mechanism: escape by flight.","Dispersal power. Macropterous. Flier. Fast runner.",
"Cicindela limbata labradorensis Johnson, 1990","Ecology. Stenotopic, psammophilous, xerophilous, epigean. Trails, ' roads, sand pits, and edges of drainage ditches. Open ground; bare dry soil consisting of yellowish sand. Diurnal.","Biology. Seasonality: July-August.","Dispersal power. Macropterous. Fast runner. Conservation status. Rare subspecies.",
"Cicindela limbata limbata Say, 1823","Ecology. Stenotopic, xerophilous, psammophilous, epigean (adult); fossorial (larva). Sand dunes, sand hills, hillsides, blowouts, ditches, barren flats, and river banks. Not associated with water. Open ground; well-drained, dry, sandy, bare or sparsely vegetated soil. Adults tend to occur in the open, less often running among sparse vegetation or at its border. Both diurnal and crepuscular; hides for the night in self-constructed burrows dug into blowouts; becomes active at 9:00 A.M .. Larval habitat: blowouts; burrows (25-35 cm deep) aggregated, straight or slightly spiralled, dug into bare white sand. Both diurnal and crepuscular. Gregarious. Associated species: C. formosa formosa and C. scutellaris scutellaris.","Biology. Seasonality: April-October, mostly May-June, September. Spring-fall species. Mating: June. Larva closes its burrow in JuneAugust. Tenerals: September. Defense mechanism: cryptic coloration - body color blends with surrounding environment; when disturbed, does not fly or run as readily as many other sandfrequenting species. Best captured with a flashlight at night.","Dispersal power. Macropterous. Not a strong flier. Attracted to artificial lights at night. Fast runner. Very active.",
"Cicindela limbata nympha Casey, 1913","Ecology. Stenotopic, steppicolous, xerophilous, psammophilous, thermophilous, epigean (adult); fossorial (larva). Sand dunes, sand hills, blowouts, roadsides, and roadcuts. Open ground; well-drained, dry, bare or sparsely vegetated soil consisting of white shifting sand. Adults tend to occur at the vegetation border and in bare areas. Larval habitat: middle of blowouts somewhat sheltered from the wind; aggregated burrows dug into moist, drifting white sand close to grass or weeds. Both diurnal and nocturnal; extensive pale elytral maculations reduce body heat; after high winds, sometimes occurs in large numbers in hollows and on the opposite side from which the wind is blowing. Larva more cold-tolerant than adult. Gregarious, swarms by the hundreds.","Biology. Seasonality: April-October. Spring-fall species. Duration of life cycle: 3 years. Mating: June-July; copulating pairs often observed partially buried in the sand, with only their heads visible. Duration of larval life: about 2 years. Larva inactive during the summer, but becoming active in the fall until late October. Pupation: AugustSeptember. Tenerals: August. Duration of adult life: 1 year. Overwinters both in the adult and larval stages, in burrows (17.5 - 42.5 cm deep) dug at the margin of small, dark blowouts, in the soft, sandy slopes preferably facing the sun at midday; larva more coldtolerant than adult. Defense mechanism: cryptic coloration - body color blends with the surrounding sand; looks like a big white spider skimming over the sandy background; when disturbed, escapes by flight; produces defensive secretions to deter pre~ators.","Dispersal power. Macropterous. Not a strong flier. Fast runner, If necessary. Very active.",
"Cicindela longilabris laurentii Schaupp, 1884","Ecology. Eurytopic, silvicolous, xerophilous, epigean. Forests: openings, clearings, meadows, edges of gopher holes, paths, roadsides, and edges. Open ground; dry, often darkened, stony, gravelly, sandy or clayish loamy, bare or almost bare soil characterized as lu:isol, brunisol, or podzol. Both diurnal and nocturnal. Usually sohtary. Associated species: C. Iengi Iengi and C. terricola cinctipennis.","Biology. Seasonality: April-September, mostly August-September. At higher elevations, emerges in late summer (CO). Spring:fall specie~. Predators: frogs and asilid flies. Defense mechamsm: cryptic :coloration - dark body with reduced elytral maculations blends with 'surrounding soil; when pursued, prefers to run rather than fly, but if flying, then flight is slow and heavy; emits a strong m~sky scent when captured. Quite wary; very nervous on very wmdy days. Difficult to approach.","Dispersal power. Macropterous. Weak flier. Attracted to artificial lights at night. Fast runner.",
"Cicindela longilabris longilabris Say, 1824","Ecology. Eurytopic, silvicolous, xerophilous, psammophilous, heliophilous, epigean. Coniferous and mixed forests (preferably jack pine, spruce, and trembling aspen): Little-used roads, logging roads, paths, and trails; roadsides, sparsely grassed spots and flats, clearings, sand pits, gravel pits, edges of gopher holes, ridges, blowouts in or outside forests, open farmland, stony banks, mountain ledges; roads above the tree line, alpine and arctic meadows. Open ground; often dark, dry, sandy, bare or sparsely vegetated soil characterized as podzol (east), luvisol, brunisol and podzol (west). Often associated with blueberries (Vaccinium), reindeer moss (Ciadonia), lichens, grass, and wild strawberries (Fragaria). Adults tend to occur on or near sandy soil darkened by decaying vegetation; adult observed on dust piles. Not associated with water or moist situations. Diurnal; even active at temperatures as low as 8.5°C; either active or hiding under dead leaves and pieces of wood on cloudy or rainy days; refuses to shelter, stays motionless and easily collected by hand during sudden rain. Gregarious.","Biology. Seasonality: May-September, with stragglers in midsummer. Males more numerous than females early in the season, but females more abundant than males later in the season. Spring-fall species. Duration of life cycle: 3 years. Mating: June-July; copulation lasting about 6 min. Oviposition: May-June. Pupation: June-July. Tenerals: August-September. Overwinters both in the adult and larval (two winters) stages. Duration of adult life: 3 months. Predaceous. Adult food, in the field: ants, scolytids, and an hemipteran. Predators: toads and asilid flies. Defense mechanism: cryptic coloration - dark body with reduced elytral maculations blends with the surrounding soil; when pursued, either takes refuge in herbage or escapes by a steady, slow, rather high and long (up to 20 m long) flight; emits a musky scent when captured. Not wary. Best collected with a net or pitfall traps.","Dispersal power. Macropterous. Excellent flier; flying higher and for longer distances than is usual for this genus. Fast runner.",
"Cicindela longilabris perviridis Schaupp, 1884","Ecology. Eurytopic, silvicolous, xerophilous, epigean. Coniferous forests: paths, trails, and clearings; regenerating forests, sagebrush areas, pocket-gopher mounds, eroded areas, and alpine grasslands. Open ground; dry, clayey, sandy or gravelly, bare or sparsely vegetated soil. Adults tend to occur in bare areas. Diurnal. Solitary. Associated species: C. nebraskana.","Biology. Seasonality: June-October. Spring-fall species. Adults emerge in late summer, become sexually mature the next spring, after hibernation. Mating: interspecific copulation observed with C. nebraskana. Overwinters at least in the adult stage. Predators: owls. Defense mechanism: escapes by flight.","Dispersal power. Macropterous. Good flier. Fast runner.",
"Cicindela macra ampliata Vaurie, 1951","Ecology. Stenotopic, riparian, hygrophilous, epigean. River banks and beaches. Open ground; wet, dark tan or reddish soil. Diurnal. Gregarious.","Biology. Seasonality: June-July.","Dispersal power. Macropterous. Fast runner.",
"Cicindela macra fluviatilis Vaurie, 1951","Ecology. Stenotopic, riparian, hygrophilous, psammophilous, epigean. River banks. Open ground; wet, sandy soil. Larval habitat: sandy, sparsely vegetated areas at a short distance behind the shoreline; burrows ranging from 22.5 to 25 cm in depth. Both diurnal (mostly) and nocturnal. Gregarious.","Biology. Seasonality: June-August.","Dispersal power. Macropterous. Attracted to artificial lights at night. Fast runner.",
